RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
102001,United States,0,187900,184800,180500,176400,174700,174e3,173200,171700,169400,166400,163400,161900,159400,155500,151500,150700,152700,155700,157500,158500,159800,161100,163200,163100,164200,161300,159200,155500,156300,157200,159100,158300,158500,157700,157800,156800,154600,152100,149200,148800,149500,149900,149400,148300,148300,149e3,148800,148300,148200,149200,151200,153e3,154900,156600,157500,159e3,160100,162600,163100,163100,163300,165100,167500,169200,171700,173900,174400,174800,174100,174800,173900,174900,175300,175900,176200,176900,178300,179900,181600,182300,182400,182600,184200,186100,188700,190500,192e3,192500,193200,192900,192800,192200,192300,194100,195900,196900,196400,196900,197600,199100,199700,201e3,201500,203600,205800,207100,208e3,208600,209400,209500,209500,210100,211e3,211500,213400,214900,218e3,219400,222400,226e3,229700,23e4,227400,225100,223900,223800,223800,225200,227600,228700,231200,232700,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362500,361900,362300,363900,366200,362300,356700,353500,353200,350700,340500,328900,324500,322700,324500,324800,329100,332500,336700,337800,336e3,336e3,337300,338700,336e3,333600,329900,331300,330900,335e3,337300,341500,349400,353300,355300,350600,349200,348500,349700,350100,350200,352400,352500,353300,354800,354100,353900,352400,353200,355900,354400,354500,353800,352e3,352600,350800,353800,355600,357100,358600,358900,357900,358600,359600,361e3,360700,360200,361500,362700,362100,362200,361e3,360800,356800,360500,363800,372600,373900,374600,374200,372e3,374300,374900,379800,381100,382200,382600,384800,386900,387200,386200,387400,389700,392e3,391800,391900,390500,389200,385800,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,474900,463e3,448e3,437e3,422e3,407400,392100,379700,368100,356700,341900,331500,325e3,320900,320500,326300,334700,341200,349e3,356100,363800,366900,370800,369100,367400,362900,366700,363900,365600,360300,366700,365600,368700,365200,361500,358200,354900,355300,352900,348600,347700,345400,345e3,339e3,338600,337100,337600,335700,336200,340300,344400,349e3,356e3,363100,373e3,378400,387600,395600,398400,399900,404800,419800,433100,442500,447100,449900,452100,454300,456600,457100,454500,455200,456600,460300,464200,464700,467600,468100,470700,474400,475800,478100,48e4,486200,490800,495200,494400,498100,499500,504e3,504900,503600,504600,510600,517900,520100,519400,522200,528300,53e4,529400,530700,532900,531900,530700,528500,531200,525100,528400,529e3,538600,540100,544300,545400,551600,562600,580500,590400,597600,601e3,609100,610600,614300,615100,617200,617500,,,,,,,
394463,"Chicago, IL",3,254800,251700,237700,224900,222800,222800,226300,224800,222400,219100,212600,209800,206100,201200,193200,186900,187900,191400,194100,196400,198300,198400,197900,198e3,196400,193600,186800,185700,183400,184600,181300,182800,185900,187e3,184800,18e4,176800,171900,165700,162700,165300,169300,17e4,168100,165200,166e3,162200,161600,159200,160300,158900,161800,164e3,166600,166100,164700,165700,164e3,164500,162100,162100,162700,166600,172800,183300,188600,193e3,193700,195100,195300,192600,194e3,193100,192900,191300,193e3,196100,200100,204e3,204700,203700,200800,201300,202e3,204400,206200,206300,204400,202200,195100,191900,187700,187800,186e3,183800,182700,183900,186600,188400,189300,190100,192800,192200,193700,195600,2e5,203e3,204300,205700,205800,205300,202900,200700,199700,198900,200400,202800,206200,210100,215100,224800,227900,226400,221400,221100,220300,218500,219100,226800,226100,229300,232900,243900
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199600,202500,203300,203600,202100,202300,204e3,205e3,206e3,206200,207300,208800,212800,216e3,218700,219100,218900,220400,220400,220300,221200,225200,23e4,231800,232300,232e3,232400,233400,235400,237800,239600,240600,242300,244900,246800,246500,245200,245100,247500,247700,250700,252200,254500,252800,250900,249100,
394974,"Philadelphia, PA",5,210900,21e4,206900,198300,195100,195e3,196700,197100,198e3,197400,196700,196400,200100,200500,196200,189200,186200,188900,190800,192400,193400,197700,200400,201900,202400,202300,198100,191500,188600,185800,187700,187900,192300,195600,200600,201900,198900,193100,184900,181300,180200,181800,180500,179100,179100,183100,184600,187300,186200,186e3,185200,186400,186800,187400,182500,182500,185100,194400,197400,196100,192700,192e3,190700,191500,193700,197500,196400,195300,194e3,195400,195e3,193700,195100,193600,193e3,191400,191400,192400,192900,194500,193500,193e3,192200,19e4,190400,192500,195500,195100,193700,192400,193200,193300,193200,191200,193e3,197500,197300,195100,192e3,194100,195900,196e3,196200,194200,195300,199600,200200,202400,200100,201900,202300,202100,201800,199500,197600,196500,195900,200200,200600,199300,198200,198500,202100,199600,198500,198400,199600,201700,202700,206300,209e3,210800,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182400,181800,184600,186200,188400,187600,188300,189400,189500,190800,191200,192300,193200,192800,193e3,189900,189600,188700,191900,193300,195e3,192800,193300,194600,198600,201600,202800,204900,206500,208800,211400,212800,214800,215700,215200,216100,215400,216800,217e3,220300,223700,224300,221300,218e3,218900,221100,224900,225600,223200,221300,219700,223200,226300,23e4,231600,225800,220700,
395209,"Washington, DC",7,356900,347300,331900,317100,311700,309800,302e3,293900,286800,281e3,281200,278e3,281500,275700,273e3,272800,282e3,296100,303600,303300,301400,301e3,300800,296600,295200,298800,298200,292200,292100,285e3,294600,291600,305900,305400,303500,300500,287200,279300,272e3,273300,285200,294200,304800,297700,291100,283900,284900,281e3,292200,297200,310100,312600,320800,321700,320200,317800,319500,317700,319200,315200,324100,327200,338100,341100,346500,347600,344300,341e3,34e4,340200,341200,338400,340900,340900,350700,350600,354300,348e3,347200,346e3,348100,351e3,35e4,349700,356100,357200,357700,349300,347e3,344900,347500,349500,350200,346e3,346300,348800,350100,351700,349700,350700,349900,351900,353600,357700,356500,357200,357700,358e3,359900,359100,360400,359800,360200,360400,361900,362900,364900,367e3,369700,372700,380500,383400,384300,378e3,373800,373500,375e3,376300,377800,377400,380400,383100,
394856,"Miami-Fort Lauderdale, FL",8,257e3,248400,236800,229200,224800,222700,214400,206200,195400,187900,176e3,166800,158e3,150800,141800,136900,137600,141300,143300,143100,144200,145700,146700,146e3,146e3,144100,143600,140900,137200,131900,126500,127700,130600,130800,123400,118200,114700,117900,12e4,123200,127300,126e3,124500,122900,124800,128600,131200,133100,134500,136400,138e3,140600,140700,141500,143200,146200,149600,154e3,158200,160800,159100,159500,162700,166900,169500,171600,173700,174800,177300,178500,180900,178500,179600,179200,181900,184100,187400,187800,187900,188800,193100,197e3,197100,196600,197400,200200,205200,207500,209100,208300,208e3,208600,206200,207100,208200,215300,217500,220600,218700,219700,220700,222900,225300,228600,229700,230700,229500,233500,235600,239200,237700,237700,236100,239e3,242500,245700,247e3,248100,252900,257200,261600,260300,257200,254400,252200,252900,252400,257900,262300,266200,264600,265500,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94800,95500,96100,98100,96800,96900,96700,97200,98300,100200,103800,106200,108500,109600,113500,116800,121e3,123200,126300,128200,131900,135700,141300,142500,142300,140300,139700,139700,140100,14e4,139600,140900,144900,149700,153700,154600,155500,155300,157800,16e4,162200,162800,169e3,171500,173300,169e3,169e3,169800,170100,171200,172800,174700,175e3,174500,173900,173300,171600,172900,173400,175500,176400,179e3,179300,181500,182300,186100,187300,189300,189e3,188800,188400,189600,191700,192700,194900,197500,202800,204900,206300,205300,205100,203800,200500,202900,203e3,205800,205300,209200,212800,
394404,"Boston, MA",10,331400,326300,322800,321200,319900,319700,318200,317200,312e3,306100,295800,292900,284500,287700,285100,292800,295700,302900,307e3,307800,304100,309100,310300,312400,305700,305500,304800,309700,315700,322900,322900,322e3,321200,317800,306700,293700,284800,287e3,295200,306200,314600,317200,317500,310400,306300,300300,300100,297e3,300300,302e3,308200,315500,322700,322100,319100,319200,322300,321500,309500,305900,306400,318700,321100,324300,324800,328700,329100,33e4,329100,330100,334e3,341900,347200,347700,348600,350700,354300,355100,354200,354900,355600,358e3,359700,362700,360900,359900,359500,361800,365900,368800,370400,37e4,369300,370500,370900,367100,363800,366400,371200,377800,378e3,379200,381400,383200,384600,385800,388200,390100,390300,391e3,393600,395700,397400,397800,401100,405700,412e3,414600,412800,413e3,411900,418200,420900,427200,426500,426800,424200,427400,431e3,430600,430300,432400,
395057,"San Francisco, CA",11,595400,552600,518900,498100,489300,467800,442100,407900,375300,353e3,336800,327300,310600,302500,306300,330700,356800,375300,394200,403400,412100,418800,420600,418500,409600,401700,408e3,414600,430800,437700,443600,435800,424700,416400,410200,401700,391e3,382100,382300,382900,387e3,389900,391200,389700,386800,381100,380900,377e3,377500,384300,400800,421800,440600,445800,452200,461500,474200,495300,495200,496500,490800,514100,542100,562400,569600,569100,570100,572500,575800,579800,590300,599100,601800,592500,585700,579500,580600,586700,599200,601800,595800,584700,581300,587900,601200,612100,616900,615400,614700,624300,627e3,626700,622400,637700,647900,646800,63e4,623900,630400,645600,654500,652e3,645300,643100,651700,661900,672500,674200,675400,683e3,690900,698800,697e3,701400,707900,722200,737700,744800,743500,747900,759300,770600,782500,786200,784300,768500,762900,773500,781500,780500,779500,785900,793700
395025,"Riverside, CA",12,302900,284800,268600,258e3,246500,235500,223800,216e3,207e3,197200,188700,179200,170900,160100,155200,153100,153400,154700,157500,161e3,166200,168900,174400,174600,175500,172e3,173600,174700,174700,173400,173700,175200,174400,173700,175200,175800,173800,169400,167700,166800,166500,166800,168700,170500,171300,169100,170200,170100,172600,173600,175700,176900,177900,180300,185700,191200,198e3,203900,209100,210600,213e3,216100,221900,227800,231500,235200,239500,245400,248200,249700,254300,256900,258300,255500,258900,259800,261200,260700,261900,264700,266600,268900,271100,273700,275600,276e3,275800,277e3,278800,282e3,283400,284100,284400,285700,291600,292600,294100,291900,293900,294700,295800,296300,303e3,303200,304600,299700,300800,301500,303900,305800,308100,311500,312900,314100,316500,323900,328100,330300,338800,348e3,352900,349700,349800,350700,350300,348400,352400,354200,355100,350400,354100,355300,356900
394976,"Phoenix, AZ",13,224500,213400,205100,199600,194100,187600,179300,171700,162300,151700,142800,132900,125600,117e3,112600,113900,118600,123600,125600,126700,129900,13e4,130900,130600,131200,129200,126500,126100,126400,124500,122600,120900,120200,116400,115300,114200,113900,111300,108600,109800,110900,112e3,113700,115e3,120200,120900,116600,110600,108600,112600,118100,121900,124900,127400,127800,131500,135100,139400,141400,141100,142600,144400,147200,149800,153e3,154100,154800,155300,154800,156100,155800,156700,156400,156700,157300,156800,157600,158e3,160100,160100,161700,163700,164200,166800,168500,171400,172600,174300,175800,176500,177800,178900,181e3,183500,185e3,185900,186900,189100,191300,192600,193700,196400,198300,200700,202600,201700,202900,203400,206e3,205200,205900,206700,209200,211200,212800,215e3,217700,219300,223500,226800,229300,228500,226900,229400,233900,238500,239100,239600,241100,242200,246400,249200,250500
395078,"Seattle, WA",14,348100,339500,328e3,319300,313100,314700,313300,314500,306300,308e3,308700,316700,311800,304200,293e3,29e4,286200,286300,288800,293300,293100,296800,303600,312200,312e3,302900,295100,286600,292200,295500,297100,29e4,286e3,291200,291e3,293400,286e3,282400,270500,258600,249600,246700,247700,246e3,243200,245300,246900,250200,247800,254100,259600,270600,275600,278900,282900,285100,292e3,292900,290200,290600,292600,300600,303700,304500,307200,309900,314600,314800,313e3,31e4,309600,311e3,310500,308800,306700,309500,313300,315900,318200,319200,320500,321e3,323800,328900,332500,334800,334300,335700,333600,335700,336200,342400,342e3,346300,349100,353400,355e3,356e3,358400,359900,361400,364500,365900,368900,372400,376200,379800,380700,384400,388100,393500,398700,402200,405600,409400,413100,417500,422200,428700,439200,450200,459600,455200,447e3,437600,435100,434200,433800,435500,441900,45e4,463100,468300
394865,"Minneapolis-St Paul, MN",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100,188200,192700,195600,196700,196600,196700,195100,195e3,194300,196100,197300,199e3,199600,203400,202800,203900,203600,206800,208500,212200,216400,221e3,220500,218300,216700,216800,217800,218100,219e3,220600,220900,222400,222900,223800,223200,222900,223700,225100,226e3,227500,227500,227800,228100,228900,230400,231200,232200,233500,234600,236e3,237200,238400,239300,239600,241900,244200,247300,249900,252200,252500,250800,250200,250300,254400,257300,258800,257300,259400,
