"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1500,0.0176390773405699,0.0250347705146037
394913,"New York, NY","Msa",1,2447,0.0115750310045473,0.0146812080536913
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2923,0.0306770098730607,0.0339044841414509
394463,"Chicago, IL","Msa",3,1728,0.0218805440567711,0.0323565323565325
394514,"Dallas-Fort Worth, TX","Msa",4,1680,0.0225197808886184,0.0294486215538847
394974,"Philadelphia, PA","Msa",5,1618,0.00621890547263693,0.0255102040816326
394692,"Houston, TX","Msa",6,1599,0.00946969696969702,0.0225952227243382
395209,"Washington, DC","Msa",7,2192,0.00874367234238371,0.0192307692307692
394856,"Miami-Fort Lauderdale, FL","Msa",8,1987,0.0332813312532501,0.0305466237942122
394347,"Atlanta, GA","Msa",9,1496,0.0338631651693158,0.0402588066139469
394404,"Boston, MA","Msa",10,2447,0.0217118997912318,0.0213219616204692
395057,"San Francisco, CA","Msa",11,3529,0.0228985507246378,0.0164997053624043
394532,"Detroit, MI","Msa",12,1259,0.0269168026101141,0.023372287145242
395025,"Riverside, CA","Msa",13,2079,0.045774647887324,0.0580095795635978
394976,"Phoenix, AZ","Msa",14,1528,0.0567081604426003,0.0671586715867158
395078,"Seattle, WA","Msa",15,2307,0.0331392745185848,0.0219679633867278
394865,"Minneapolis-St Paul, MN","Msa",16,1755,0.0323529411764707,0.0416666666666667
395056,"San Diego, CA","Msa",17,2756,0.0411786928598414,0.0429472025216706
395121,"St. Louis, MO","Msa",18,1165,0.00604490500863553,0.0184696569920844
395148,"Tampa, FL","Msa",19,1514,0.0499306518723994,0.0502549162418062
394358,"Baltimore, MD","Msa",20,1772,0.0108385624643468,0.0103746397694524
394530,"Denver, CO","Msa",21,2201,0.0441176470588236,0.0323212536728696
394982,"Pittsburgh, PA","Msa",22,1117,0.013611615245009,0.0396226415094341
394998,"Portland, OR","Msa",23,1938,0.0363636363636364,0.0157523085279738
394458,"Charlotte, NC","Msa",24,1389,0.0350223546944859,0.0386996904024768
395045,"Sacramento, CA","Msa",25,1987,0.0375979112271541,0.040195545898968
395055,"San Antonio, TX","Msa",26,1400,0.0233918128654971,0.0231862378459238
394943,"Orlando, FL","Msa",27,1578,0.030698889614631,0.0646731571627259
394466,"Cincinnati, OH","Msa",28,1352,0.036015325670498,0.0235294117647058
394475,"Cleveland, OH","Msa",29,1182,0.0145922746781115,0.0210341805433829
394735,"Kansas City, MO","Msa",30,1331,0.0277992277992278,0.0196850393700787
394775,"Las Vegas, NV","Msa",31,1480,0.0601719197707737,0.0755007704160247
394492,"Columbus, OH","Msa",32,1396,0.0242112986060161,0.034927866362946
394705,"Indianapolis, IN","Msa",33,1252,0.0137651821862348,0.0300250208507089
395059,"San Jose, CA","Msa",34,3656,0.0289895862651282,0.0151428571428571
394355,"Austin, TX","Msa",35,1743,0.022887323943662,0.0173134328358209
395194,"Virginia Beach, VA","Msa",36,1453,0.00414651002073252,0.0313613684960798
394902,"Nashville, TN","Msa",37,1549,0.0204216073781291,0.0201612903225807
395005,"Providence, RI","Msa",38,1704,0.00530973451327443,0.0247883917775091
394862,"Milwaukee, WI","Msa",39,1339,0.00149588631264019,-0.00298284862043252
394714,"Jacksonville, FL","Msa",40,1437,0.0301075268817204,0.0560181680545042
394849,"Memphis, TN","Msa",41,1146,0.0213903743315509,0.0321987120515179
394935,"Oklahoma City, OK","Msa",42,1115,0.0117967332123412,0.010082493125573
394807,"Louisville-Jefferson County, KY","Msa",43,1208,0.0100334448160535,0.0109890109890109
394669,"Hartford, CT","Msa",44,1616,0.00748129675810483,0.00817096165933373
395022,"Richmond, VA","Msa",45,1450,0.0154061624649859,0.0280777537796977
394910,"New Orleans, LA","Msa",46,1438,0.0126760563380282,0.0289855072463767
394425,"Buffalo, NY","Msa",47,1230,0.00408163265306127,0.0285474391267841
395012,"Raleigh, NC","Msa",48,1492,0.021917808219178,0.0181311018131103
394388,"Birmingham, AL","Msa",49,1130,0.0226244343891402,0.0523809523809524
395053,"Salt Lake City, UT","Msa",50,1666,0.0309405940594059,0.0214917825537295
